Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Off eFG%,Off TOV%,ORB%,Off FT/FGA%,Def eFG%,Def TOV%,DRB%,Def FT/FGA%,Arena,Attend.,Attend./G
1,Sacramento Kings,27.0,61,21,61,21,7.61,0.00,7.61,109.0,101.1,+7.9,95.6,.308,.166,.539,.497,12.4,27.9,.231,.467,13.6,71.7,.185,ARCO Arena (II),"709,997","17,317"
2,Los Angeles Lakers,27.9,58,24,60,22,7.12,0.03,7.15,109.4,101.7,+7.7,92.1,.313,.210,.534,.498,11.8,28.8,.218,.453,13.0,72.0,.233,STAPLES Center,"778,777","18,995"
3,San Antonio Spurs,28.5,58,24,59,23,6.21,0.07,6.28,106.5,99.7,+6.8,90.0,.353,.190,.539,.492,13.8,27.2,.262,.453,13.7,71.9,.189,Alamodome,"906,390","22,107"
4,New Jersey Nets,26.1,52,30,53,29,4.16,-0.49,3.67,104.0,99.5,+4.5,91.8,.280,.175,.515,.476,13.4,29.2,.206,.459,14.9,71.6,.213,Continental Airlines Arena,"564,194","13,761"
5,Dallas Mavericks,27.6,57,25,53,29,4.26,0.16,4.41,112.2,107.7,+4.5,92.8,.288,.237,.553,.507,11.3,26.1,.232,.485,12.9,70.7,.239,American Airlines Center,"802,783","19,580"
6,Minnesota Timberwolves,26.7,50,32,51,31,3.38,0.20,3.58,109.0,105.3,+3.7,90.5,.255,.152,.532,.490,12.5,31.3,.203,.482,12.7,73.7,.218,Target Center,"731,673","17,846"
7,Portland Trail Blazers,29.0,49,33,50,32,2.99,0.22,3.21,107.4,104.0,+3.4,89.3,.285,.198,.528,.485,13.5,31.8,.218,.489,14.2,73.3,.202,Rose Garden Arena,"797,821","19,459"
8,Seattle SuperSonics,26.9,45,37,50,32,3.02,0.22,3.24,108.9,105.6,+3.3,89.0,.250,.193,.540,.505,13.2,29.4,.189,.485,14.5,68.1,.206,KeyArena at Seattle Center,"633,516","15,452"
9,Boston Celtics,26.2,49,33,48,34,2.21,-0.46,1.75,103.4,101.0,+2.4,92.5,.291,.289,.520,.476,12.8,24.1,.223,.464,15.1,72.9,.245,FleetCenter,"659,751","16,091"
10,Detroit Pistons,29.5,50,32,48,34,2.13,-0.45,1.69,104.8,102.4,+2.4,90.0,.310,.240,.540,.497,14.3,24.4,.235,.474,14.8,70.5,.206,The Palace of Auburn Hills,"760,807","18,556"
11,Philadelphia 76ers,29.0,43,39,46,36,1.60,-0.33,1.27,102.1,100.3,+1.8,88.9,.327,.111,.507,.452,14.6,31.7,.255,.460,14.2,72.1,.208,First Union Center,"842,976","20,560"
12,Orlando Magic,28.0,44,38,46,36,1.57,-0.32,1.25,107.0,105.3,+1.7,93.2,.278,.241,.533,.493,12.6,26.3,.210,.486,14.4,69.2,.215,TD Waterhouse Centre,"621,121","15,149"
13,Utah Jazz,29.9,44,38,44,38,0.89,0.32,1.21,105.6,104.6,+1.0,90.3,.381,.132,.529,.472,15.4,33.5,.291,.484,15.9,71.7,.286,Delta Center,"766,108","18,686"
14,Charlotte Hornets,28.3,44,38,44,38,0.96,-0.40,0.57,104.3,103.3,+1.0,89.7,.320,.151,.513,.466,13.3,30.6,.238,.465,13.3,72.2,.226,Charlotte Coliseum,"462,738","11,286"
15,Indiana Pacers,26.1,42,40,42,40,0.27,-0.34,-0.07,104.1,103.8,+0.3,91.9,.328,.182,.527,.477,14.2,27.0,.253,.469,13.2,71.0,.227,Conseco Fieldhouse,"686,537","16,745"
16,Milwaukee Bucks,28.9,41,41,40,42,-0.22,-0.40,-0.62,106.9,107.1,-0.2,90.2,.269,.241,.544,.507,13.6,25.6,.201,.477,12.0,70.9,.217,Bradley Center,"745,305","18,178"
17,Los Angeles Clippers,24.4,39,43,40,42,-0.46,0.38,-0.09,105.5,106.0,-0.5,90.1,.304,.172,.519,.476,13.8,31.3,.225,.477,12.1,69.9,.194,STAPLES Center,"740,185","18,053"
18,Toronto Raptors,29.3,42,40,40,42,-0.44,-0.27,-0.71,102.6,103.1,-0.5,88.8,.255,.165,.501,.463,13.6,31.4,.189,.471,14.7,70.1,.237,Air Canada Centre,"810,160","19,760"
19,Phoenix Suns,26.5,36,46,39,43,-0.68,0.39,-0.30,103.3,104.0,-0.7,91.4,.235,.158,.510,.472,13.6,30.1,.180,.476,14.4,70.2,.227,America West Arena,"668,939","16,316"
20,Washington Wizards,27.5,37,45,37,45,-1.40,-0.17,-1.58,104.8,106.4,-1.6,88.3,.280,.118,.508,.464,12.5,30.7,.214,.484,13.0,71.4,.214,MCI Center,"847,634","20,674"
21,Miami Heat,30.1,36,46,36,46,-1.54,-0.31,-1.84,98.5,100.2,-1.7,87.4,.268,.141,.501,.463,14.6,26.6,.194,.455,13.6,74.0,.249,AmericanAirlines Arena,"655,549","15,989"
22,Cleveland Cavaliers,26.0,29,53,31,51,-3.33,-0.19,-3.52,104.6,108.2,-3.6,90.3,.301,.156,.524,.477,13.8,28.9,.232,.493,12.3,72.8,.226,Gund Arena,"596,115","14,539"
23,New York Knicks,30.3,30,52,29,53,-3.99,-0.16,-4.15,101.5,105.9,-4.4,89.7,.274,.206,.514,.468,14.0,25.6,.216,.479,12.9,71.9,.236,Madison Square Garden (IV),"810,283","19,763"
24,Atlanta Hawks,25.7,33,49,29,53,-4.23,-0.18,-4.41,101.8,106.4,-4.6,91.9,.294,.181,.517,.471,14.6,27.5,.225,.495,14.1,70.9,.218,Philips Arena,"506,110","12,344"
25,Houston Rockets,25.9,28,54,27,55,-4.89,0.58,-4.31,103.1,108.6,-5.5,88.2,.286,.223,.507,.465,13.4,29.0,.211,.491,11.5,69.8,.178,Compaq Center,"481,227","11,737"
26,Golden State Warriors,24.8,21,61,26,56,-5.40,0.61,-4.80,102.8,108.5,-5.7,94.5,.335,.142,.499,.452,14.7,35.3,.242,.488,12.9,69.4,.232,The Arena in Oakland,"593,182","14,468"
27,Denver Nuggets,28.2,27,55,24,58,-5.82,0.63,-5.19,101.4,107.8,-6.4,90.4,.256,.187,.495,.455,13.6,30.6,.190,.492,13.6,69.9,.245,Pepsi Center,"633,846","15,460"
28,Memphis Grizzlies,25.5,23,59,20,62,-7.44,0.70,-6.74,98.2,106.3,-8.1,91.1,.288,.168,.501,.462,15.4,27.8,.204,.486,13.7,68.0,.197,Pyramid Arena,"591,030","14,415"
29,Chicago Bulls,25.5,21,61,18,64,-8.54,0.02,-8.52,98.2,107.6,-9.4,90.5,.302,.134,.499,.456,14.6,26.6,.218,.497,13.7,71.4,.239,United Center,"776,311","18,934"
,League Average,27.4,,,41,41,0.00,0.00,0.00,104.5,104.5,,90.7,.293,.181,.520,.477,13.6,28.9,.221,.477,13.6,71.1,.221,,"695,899","16,973"
