Team,W,L,W/L%,Off eFG%,Off TOV%,ORB%,Off FT/FGA%,Def eFG%,Def TOV%,DRB%,Def FT/FGA%,Offensive Score,Defensive Score,Four-Factor Score
Orlando Magic,59.0,23.0,0.719512,1.781201,0.322137,-0.732129,0.743658,-1.454266,-1.222308,2.010266,-1.028617,0.597069,0.832475,1.429544
Cleveland Cavaliers,61.0,21.0,0.743902,1.578022,0.086427,-0.51249,0.743658,-1.146159,-1.113497,1.900316,-0.451408,0.618653,0.627864,1.246517
Utah Jazz,53.0,29.0,0.646341,1.171664,1.029266,0.234281,0.996699,-0.529944,0.953908,1.020709,1.81303,0.40771,0.382642,0.790352
San Antonio Spurs,50.0,32.0,0.609756,0.714512,-0.502848,0.234281,-0.395025,-1.084538,-1.331119,1.405537,-0.62901,0.399119,0.476494,0.875613
Atlanta Hawks,53.0,29.0,0.646341,0.25736,-2.270671,0.849269,-0.648065,-0.283459,-0.1342,-0.573576,-0.895415,0.743256,0.099431,0.842687
Phoenix Suns,54.0,28.0,0.658537,2.289148,0.322137,0.585703,0.490618,-0.591566,-1.875173,-1.618109,-0.185003,1.025858,-0.528038,0.49782
Los Angeles Lakers,57.0,25.0,0.695122,-0.250587,-1.092122,0.585703,-0.310678,-1.022916,-0.1342,0.361005,-1.472625,0.243335,0.668711,0.912046
Denver Nuggets,53.0,29.0,0.646341,0.409744,-0.738557,-0.073213,2.59929,-0.34508,0.518665,-0.738503,1.013817,0.723788,-0.032075,0.691713
Boston Celtics,50.0,32.0,0.609756,1.070075,1.382831,-1.522828,0.828005,-0.838052,1.715584,0.031153,1.013817,-0.098043,0.618275,0.520232
Portland Trail Blazers,50.0,32.0,0.609756,-0.098203,-1.445687,0.849269,0.870179,0.08627,-0.025389,0.580906,-0.407007,0.622521,0.136377,0.758898
Oklahoma City Thunder,50.0,32.0,0.609756,-0.352177,0.675701,1.02498,1.671474,-1.084538,0.736287,-0.078798,0.037001,0.145921,0.596577,0.742498
Dallas Mavericks,55.0,27.0,0.670732,0.25736,-1.209977,-0.863912,-0.09981,-0.34508,0.301043,-0.023823,-0.984216,0.217684,0.356161,0.573845
Miami Heat,47.0,35.0,0.573171,-0.250587,-0.620702,-0.073213,-0.226331,-1.269402,0.627476,0.635882,0.791813,0.006348,0.673034,0.679382
Milwaukee Bucks,46.0,36.0,0.560976,-0.961713,-1.209977,-0.029285,-1.997615,-0.899673,1.389152,1.460512,1.679828,-0.38769,0.747285,0.359595
Charlotte Bobcats,44.0,38.0,0.536585,-0.555355,2.08996,0.102498,1.334087,-0.591566,1.497962,0.251054,-1.517025,-0.524019,0.888881,0.364862
Houston Rockets,42.0,40.0,0.512195,-0.352177,-0.149283,0.278209,-0.141984,0.640863,0.301043,0.031153,-0.58461,-0.069206,-0.087162,-0.156368
Memphis Grizzlies,40.0,42.0,0.487805,-0.352177,0.439992,2.211029,0.27975,1.195456,-0.1342,-0.243724,-1.028617,0.2333,-0.406185,-0.172885
Chicago Bulls,41.0,41.0,0.5,-1.215687,-0.031428,0.146426,-0.479371,-1.022916,-1.113497,0.580906,-0.717812,-0.521038,0.354645,-0.166393
Toronto Raptors,40.0,42.0,0.487805,1.01928,-0.738557,-0.688201,0.659311,0.764106,-1.657552,-0.463626,0.836214,0.553608,-0.938188,-0.38458
New Orleans Hornets,37.0,45.0,0.45122,0.25736,-0.738557,-0.644273,-1.660228,1.38032,0.192232,0.031153,-1.028617,-0.090306,-0.343547,-0.433853
Indiana Pacers,32.0,50.0,0.390244,-0.504561,0.557846,-2.049961,0.02671,-0.653187,0.083422,-0.40865,1.324622,-0.747272,0.001707,-0.745565
Golden State Warriors,26.0,56.0,0.317073,0.663717,-0.267138,-2.357455,0.068883,1.503563,1.933206,-2.882542,1.413424,-0.128887,-0.906646,-1.035533
New York Knicks,29.0,53.0,0.353659,0.409744,-0.384993,-1.215334,-1.19632,1.565185,-0.025389,-0.903429,-0.939816,-0.162369,-0.672135,-0.834504
Philadelphia 76ers,27.0,55.0,0.329268,-0.250587,0.439992,0.585703,-1.027626,1.072213,0.518665,-0.2987,0.125802,-0.247236,-0.377829,-0.625065
Sacramento Kings,25.0,57.0,0.304878,-0.504561,0.322137,0.673559,-0.901106,0.271134,-0.787065,-0.133773,0.703012,-0.282813,-0.437426,-0.720239
Washington Wizards,26.0,56.0,0.317073,-1.012508,0.675701,0.585703,-0.521545,0.08627,-0.569443,-0.738503,0.481008,-0.53502,-0.396721,-0.931741
Detroit Pistons,27.0,55.0,0.329268,-1.368071,-0.620702,1.771752,-0.352851,1.565185,0.953908,-0.188749,1.591026,-0.09063,-0.664001,-0.754631
Los Angeles Clippers,29.0,53.0,0.353659,-0.504561,1.736395,0.366064,-0.943279,0.51762,-1.222308,0.141103,-0.62901,-0.704202,-0.390053,-1.094255
Minnesota Timberwolves,15.0,67.0,0.182927,-1.164892,1.500686,0.190354,-0.901106,1.503563,-0.351822,-0.078798,-0.362606,-0.938223,-0.650749,-1.588972
New Jersey Nets,12.0,70.0,0.146341,-2.180786,0.439992,-0.51249,0.490618,1.010592,-0.025389,-1.068355,0.037001,-1.011218,-0.629805,-1.641023
