Team,Four-Factor Score,W,L,W/L%,NRtg_norm,SRS_norm
San Antonio Spurs,1.083129,62.0,20.0,0.756,1.6331191491923234,1.672990660173182
Los Angeles Clippers,1.169209,57.0,25.0,0.695,1.4718234307535754,1.520330262432379
Oklahoma City Thunder,0.981979,59.0,23.0,0.72,1.330689677119671,1.392764724594174
Miami Heat,0.533168,54.0,28.0,0.659,1.0282602050470184,0.8678639049648382
Golden State Warriors,0.793872,51.0,31.0,0.622,0.9879362754373316,1.076987737486486
Indiana Pacers,0.857756,56.0,26.0,0.683,0.967774310632488,0.7591195120535813
Houston Rockets,0.910681,54.0,28.0,0.659,0.9476123458276444,1.0581665925595374
Portland Trail Blazers,0.505073,54.0,28.0,0.659,0.8266405569985834,0.928509816396116
Toronto Raptors,0.561269,48.0,34.0,0.585,0.7056687681695225,0.5332657729302017
Phoenix Suns,0.273493,48.0,34.0,0.585,0.5645350145356179,0.6315539742153762
Minnesota Timberwolves,0.64459,40.0,42.0,0.488,0.5443730497307745,0.648283880817108
Dallas Mavericks,0.236568,49.0,33.0,0.598,0.5040491201210875,0.608550352637995
Chicago Bulls,0.50722,48.0,34.0,0.585,0.40323929609687,0.2509485990259772
Memphis Grizzlies,0.463532,50.0,32.0,0.61,0.3427534016823395,0.4558899548971921
Washington Wizards,0.247955,44.0,38.0,0.537,0.2822675072678089,0.1003794396103909
Charlotte Bobcats,0.595737,43.0,39.0,0.524,-0.040323929609687,-0.1861202109442664
Atlanta Hawks,-0.334156,38.0,44.0,0.463,-0.1008098240242175,-0.18402897261905
New York Knicks,-0.225251,37.0,45.0,0.451,-0.161295718438748,-0.2927733655303068
Brooklyn Nets,-0.367946,44.0,38.0,0.537,-0.201619648048435,-0.3304156553842034
Denver Nuggets,-0.303918,36.0,46.0,0.439,-0.443563225706557,-0.2927733655303068
New Orleans Pelicans,-0.430532,34.0,48.0,0.415,-0.5846969793404615,-0.4140651883928625
Sacramento Kings,-0.393719,28.0,54.0,0.341,-0.6250209089501485,-0.4349775716450273
Cleveland Cavaliers,-0.226923,33.0,49.0,0.402,-0.7056687681695225,-0.8072179935335603
Detroit Pistons,-0.368487,29.0,53.0,0.354,-0.766154662584053,-0.8636814283144051
Boston Celtics,-0.905612,25.0,57.0,0.305,-0.967774310632488,-1.0393454476325892
Orlando Magic,-0.79471,23.0,59.0,0.28,-1.1492319938760795,-1.2296481352272888
Los Angeles Lakers,-1.302312,27.0,55.0,0.329,-1.290365747509984,-1.1146300273403824
Utah Jazz,-1.368904,25.0,57.0,0.305,-1.572633254777793,-1.311206429910731
Milwaukee Bucks,-1.542563,15.0,67.0,0.183,-1.7742529028262282,-1.7587314315070577
Philadelphia 76ers,-1.8002,19.0,63.0,0.232,-2.117006304508568,-2.229260054680765
