Team,W,L,W/L%,SRS_norm
Cleveland Cavaliers,57,25,0.695,1.108066727698261
Toronto Raptors,56,26,0.683,0.8295251833043862
Miami Heat,48,34,0.585,0.30497249386190667
Atlanta Hawks,48,34,0.585,0.709569335718703
Boston Celtics,48,34,0.585,0.5774145883785433
Charlotte Hornets,48,34,0.585,0.47982339034273314
Indiana Pacers,45,37,0.549,0.3293702933708592
Detroit Pistons,44,38,0.537,0.08742544824041325
Chicago Bulls,42,40,0.512,-0.29683989402558913
Washington Wizards,41,41,0.5,-0.10165749795396889
Orlando Magic,35,47,0.427,-0.34156919312533546
Milwaukee Bucks,33,49,0.402,-0.8091936837135923
New York Knicks,32,50,0.39,-0.5570830887877496
Brooklyn Nets,21,61,0.256,-1.4476027708645172
Philadelphia 76ers,10,72,0.122,-2.016884759406743
Golden State Warriors,73,9,0.89,2.1104096575243942
San Antonio Spurs,67,15,0.817,2.0900781579336005
Oklahoma City Thunder,55,27,0.671,1.441503320987279
Los Angeles Clippers,53,29,0.646,0.839690933099783
Portland Trail Blazers,44,38,0.537,0.19924869598977904
Dallas Mavericks,42,40,0.512,-0.004066299918158755
Memphis Grizzlies,42,40,0.512,-0.43509409124298687
Houston Rockets,41,41,0.5,0.06912709860869885
Utah Jazz,40,42,0.488,0.37409959247060554
Sacramento Kings,33,49,0.402,-0.47169079050641566
Denver Nuggets,33,49,0.402,-0.5713151385013052
New Orleans Pelicans,30,52,0.366,-0.7238013854322586
Minnesota Timberwolves,29,53,0.354,-0.6872046861688297
Phoenix Suns,23,59,0.28,-1.284950774138167
Los Angeles Lakers,17,65,0.207,-1.813569763498805
