Team,W,L,W/L%,GB,PS/G,PA/G,SRS
Miami Heat,53,29,.646,5.5,110.0,105.6,4.23
Boston Celtics,51,31,.622,6.5,111.8,104.5,7.02
Milwaukee Bucks,51,31,.622,6.5,115.5,112.1,3.22
Philadelphia 76ers,51,31,.622,6.5,109.9,107.3,2.57
Toronto Raptors,48,34,.585,8.0,109.4,107.1,2.38
Chicago Bulls,46,36,.561,9.0,111.6,112.0,-0.38
Brooklyn Nets,44,38,.537,10.0,112.9,112.1,0.82
Cleveland Cavaliers,44,38,.537,10.0,107.8,105.7,2.04
Atlanta Hawks,43,39,.524,10.5,113.9,112.4,1.55
Charlotte Hornets,43,39,.524,10.5,115.3,114.9,0.53
New York Knicks,37,45,.451,13.5,106.5,106.6,-0.01
Washington Wizards,35,47,.427,14.5,108.6,112.0,-3.23
Indiana Pacers,25,57,.305,19.5,111.5,114.9,-3.26
Detroit Pistons,23,59,.280,20.5,104.8,112.5,-7.36
Orlando Magic,22,60,.268,21.0,104.2,112.2,-7.67
Phoenix Suns,64,18,.780,0.0,114.8,107.3,6.94
Memphis Grizzlies,56,26,.683,4.0,115.6,109.9,5.37
Golden State Warriors,53,29,.646,5.5,111.0,105.5,5.52
Dallas Mavericks,52,30,.634,6.0,108.0,104.7,3.12
Utah Jazz,49,33,.598,7.5,113.6,107.6,5.67
Denver Nuggets,48,34,.585,8.0,112.7,110.4,2.16
Minnesota Timberwolves,46,36,.561,9.0,115.9,113.3,2.53
Los Angeles Clippers,42,40,.512,11.0,108.4,108.4,0.09
New Orleans Pelicans,36,46,.439,14.0,109.3,110.3,-0.84
San Antonio Spurs,34,48,.415,15.0,113.2,113.0,0.02
Los Angeles Lakers,33,49,.402,15.5,112.1,115.1,-3.08
Sacramento Kings,30,52,.366,17.0,110.3,115.8,-5.26
Portland Trail Blazers,27,55,.329,18.5,106.2,115.1,-8.55
Oklahoma City Thunder,24,58,.293,20.0,103.7,111.8,-7.90
Houston Rockets,20,62,.244,22.0,109.7,118.2,-8.26
