Rk,Team,G,MP,FG%,Dist.,% of FGA By Distance - 2P,% of FGA By Distance - 0-3,% of FGA By Distance - 3-10,% of FGA By Distance - 10-16,% of FGA By Distance - 16-3P,% of FGA By Distance - 3P,FG% By Distance - 2P,FG% By Distance - 0-3,FG% By Distance - 3-10,FG% By Distance - 10-16,FG% By Distance - 16-3P,FG% By Distance - 3P,% of FG Ast'd - 2P,% of FG Ast'd - 3P,Dunks - %FGA,Dunks - Md.,Layups - %FGA,Layups - Md.,Corner - %3PA,Corner - 3P%,Heaves - Att.,Heaves - Md.
1,Atlanta Hawks,82,19855,.465,14.1,.592,.247,.194,.104,.047,.408,.535,.649,.437,.477,.471,.364,.537,.791,.065,445,.259,1006,.260,.380,15,0
2,Boston Celtics,82,19830,.487,15.6,.529,.212,.181,.083,.053,.471,.575,.745,.478,.454,.418,.388,.503,.796,.066,439,.249,1086,.204,.441,11,1
3,Brooklyn Nets,82,19805,.456,14.2,.588,.242,.199,.094,.053,.412,.522,.692,.406,.433,.346,.362,.527,.844,.054,353,.266,1081,.261,.414,23,1
4,Chicago Bulls,82,19980,.470,13.6,.642,.266,.181,.106,.089,.358,.532,.642,.465,.481,.404,.358,.488,.876,.039,236,.274,1156,.275,.385,11,0
5,Charlotte Hornets,82,19730,.460,14.1,.609,.251,.198,.094,.065,.391,.528,.692,.438,.404,.344,.355,.525,.839,.059,381,.259,1036,.219,.367,21,0
6,Cleveland Cavaliers,82,19805,.479,14.0,.578,.276,.190,.073,.039,.422,.561,.686,.448,.457,.416,.367,.589,.844,.070,444,.260,1056,.239,.376,10,1
7,Dallas Mavericks,82,19705,.481,15.1,.559,.222,.175,.098,.064,.441,.569,.747,.470,.451,.404,.369,.524,.735,.069,447,.225,998,.274,.362,16,0
8,Denver Nuggets,82,19705,.496,13.3,.648,.265,.209,.090,.083,.352,.562,.688,.487,.457,.464,.374,.598,.864,.066,438,.282,1152,.238,.384,24,0
9,Detroit Pistons,82,19755,.463,13.5,.640,.224,.242,.112,.063,.360,.528,.679,.461,.455,.377,.348,.541,.844,.072,470,.270,1058,.273,.359,21,0
10,Golden State Warriors,82,19830,.477,15.0,.575,.185,.238,.083,.069,.425,.548,.716,.504,.419,.410,.380,.599,.810,.055,370,.289,1266,.163,.395,15,1
11,Houston Rockets,82,19855,.459,14.2,.603,.237,.215,.084,.066,.397,.530,.675,.437,.455,.407,.352,.512,.781,.059,379,.294,1199,.171,.395,28,0
12,Indiana Pacers,82,19705,.507,13.5,.620,.259,.220,.094,.047,.380,.589,.718,.493,.505,.497,.374,.576,.855,.059,415,.319,1440,.234,.405,11,0
13,Los Angeles Clippers,82,19705,.489,14.1,.617,.228,.207,.120,.063,.383,.555,.720,.469,.472,.402,.381,.544,.744,.070,433,.252,1005,.247,.417,9,0
14,Los Angeles Lakers,82,19855,.499,13.3,.642,.259,.221,.097,.065,.358,.567,.769,.451,.428,.365,.377,.591,.822,.081,533,.289,1245,.248,.388,15,0
15,Memphis Grizzlies,82,19780,.435,14.3,.572,.238,.222,.071,.040,.428,.502,.652,.397,.409,.359,.346,.526,.873,.044,277,.255,999,.244,.351,21,0
16,Miami Heat,82,19755,.465,14.2,.606,.194,.248,.111,.053,.394,.527,.672,.494,.409,.399,.370,.537,.892,.049,301,.254,998,.276,.398,13,0
17,Milwaukee Bucks,82,19805,.487,15.0,.570,.238,.167,.092,.073,.430,.574,.761,.430,.447,.456,.373,.504,.841,.056,372,.260,1155,.255,.414,10,0
18,Minnesota Timberwolves,82,19805,.485,13.5,.616,.250,.228,.089,.048,.384,.546,.716,.439,.439,.376,.387,.547,.869,.075,465,.269,1066,.279,.409,17,1
19,New Orleans Pelicans,82,19705,.486,13.5,.627,.254,.218,.099,.056,.373,.548,.695,.440,.472,.434,.383,.531,.883,.053,343,.294,1175,.266,.434,22,1
20,New York Knicks,82,19730,.465,13.9,.596,.252,.190,.107,.047,.404,.531,.658,.451,.433,.392,.369,.474,.837,.051,325,.256,1024,.269,.414,8,1
21,Oklahoma City Thunder,82,19805,.499,13.8,.617,.252,.191,.117,.057,.383,.567,.712,.458,.503,.422,.389,.487,.894,.054,350,.284,1233,.243,.416,5,0
22,Orlando Magic,82,19780,.476,13.2,.631,.269,.221,.091,.050,.369,.549,.722,.440,.397,.380,.352,.509,.879,.072,453,.309,1244,.262,.366,17,0
23,Philadelphia 76ers,82,19780,.464,13.7,.627,.261,.204,.099,.063,.373,.525,.669,.407,.452,.424,.363,.510,.818,.048,309,.295,1182,.217,.410,8,0
24,Phoenix Suns,82,19780,.493,14.3,.622,.224,.184,.134,.081,.378,.561,.713,.457,.499,.474,.382,.543,.864,.056,346,.237,973,.249,.405,2,0
25,Portland Trail Blazers,82,19880,.439,13.6,.630,.241,.220,.102,.067,.370,.494,.637,.394,.422,.415,.345,.484,.838,.047,293,.300,1142,.239,.371,13,0
26,Sacramento Kings,82,19855,.477,14.8,.568,.206,.218,.096,.048,.432,.561,.715,.509,.439,.378,.366,.543,.879,.054,356,.262,1166,.244,.393,8,0
27,San Antonio Spurs,82,19830,.462,13.9,.599,.258,.200,.088,.052,.401,.539,.692,.445,.427,.338,.347,.625,.914,.066,437,.270,1142,.235,.384,16,0
28,Toronto Raptors,82,19805,.471,13.2,.631,.270,.221,.086,.054,.369,.543,.702,.439,.404,.397,.347,.588,.903,.048,313,.310,1346,.253,.380,11,0
29,Utah Jazz,82,19805,.467,13.8,.594,.201,.289,.071,.033,.406,.544,.725,.471,.412,.372,.354,.544,.882,.072,489,.273,1102,.276,.390,17,0
30,Washington Wizards,82,19730,.470,13.8,.611,.248,.236,.085,.042,.389,.548,.731,.435,.404,.387,.348,.571,.843,.057,383,.301,1315,.222,.392,16,1
,League Average,82,19788,.474,14.0,.605,.241,.211,.096,.058,.395,.545,.699,.452,.446,.407,.366,.540,.844,.060,387,.274,1135,.244,.393,14.5,0.3
