Team,W,L,W/L%,NRtg,NRtg_norm
Oklahoma City Thunder,17.0,5.0,0.773,12.0,1.7289028556210886
Cleveland Cavaliers,20.0,3.0,0.87,10.5,1.5127899986684525
Boston Celtics,19.0,4.0,0.826,10.2,1.4695674272779253
New York Knicks,14.0,8.0,0.636,7.8,1.1237868561537077
Dallas Mavericks,15.0,8.0,0.652,7.6,1.0949718085600229
Memphis Grizzlies,15.0,8.0,0.652,7.6,1.0949718085600229
Houston Rockets,15.0,8.0,0.652,6.8,0.9797116181852835
Golden State Warriors,13.0,9.0,0.591,4.8,0.6915611422484355
Orlando Magic,16.0,9.0,0.64,4.5,0.6483385708579082
Minnesota Timberwolves,12.0,10.0,0.545,4.1,0.5907084756705385
Miami Heat,10.0,10.0,0.5,2.3,0.3313730473273753
Los Angeles Clippers,14.0,10.0,0.583,1.9,0.2737429521400057
Sacramento Kings,11.0,13.0,0.458,1.5,0.21611285695263607
Denver Nuggets,11.0,9.0,0.55,1.0,0.14407523796842406
Milwaukee Bucks,11.0,11.0,0.5,0.8,0.11526019037473925
Phoenix Suns,12.0,9.0,0.571,-0.3,-0.043222571390527216
Atlanta Hawks,13.0,11.0,0.542,-1.6,-0.2305203807494785
San Antonio Spurs,11.0,12.0,0.478,-2.1,-0.3025579997336905
Detroit Pistons,9.0,15.0,0.375,-3.0,-0.43222571390527215
Chicago Bulls,10.0,14.0,0.417,-3.5,-0.5042633328894842
Brooklyn Nets,10.0,13.0,0.435,-3.8,-0.5474859042800114
Indiana Pacers,10.0,14.0,0.417,-4.2,-0.605115999467381
Los Angeles Lakers,12.0,11.0,0.522,-4.3,-0.6195235232642234
Toronto Raptors,7.0,16.0,0.304,-4.7,-0.677153618451593
Philadelphia 76ers,6.0,15.0,0.286,-5.6,-0.8068213326231747
Charlotte Hornets,6.0,16.0,0.273,-5.6,-0.8068213326231747
Utah Jazz,5.0,17.0,0.227,-8.0,-1.1526019037473925
Portland Trail Blazers,8.0,15.0,0.348,-9.6,-1.383122284496871
New Orleans Pelicans,5.0,18.0,0.217,-12.3,-1.772125427011616
Washington Wizards,2.0,18.0,0.1,-16.5,-2.3772414264789967
League Average,,,,,
