Rk,Team,G,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Oklahoma City Thunder,22,36.1,85.4,.423,12.7,37.9,.334,23.5,47.5,.494,18.9,25.5,.741,13.1,35.7,48.8,24.2,6.6,5.1,19.3,18.2,103.7
2,Houston Rockets,23,38.1,88.0,.433,11.7,34.1,.342,26.4,53.9,.490,17.8,23.7,.751,10.8,33.5,44.2,21.6,7.1,6.5,15.2,20.3,105.6
3,Orlando Magic,25,38.5,84.0,.458,12.1,33.4,.362,26.4,50.6,.522,17.1,22.7,.751,8.9,33.1,42.1,23.6,7.9,4.1,17.4,22.7,106.1
4,Minnesota Timberwolves,22,40.3,87.9,.458,11.7,34.8,.337,28.6,53.2,.538,15.9,19.9,.798,10.3,32.5,42.7,23.7,9.8,4.7,16.1,19.7,108.2
5,Golden State Warriors,22,38.7,88.6,.437,12.5,38.0,.328,26.2,50.5,.519,18.4,23.7,.774,11.2,34.5,45.7,25.8,7.6,6.1,15.0,18.1,108.2
6,Memphis Grizzlies,23,38.6,87.7,.440,12.9,38.0,.339,25.7,49.7,.518,18.4,24.6,.747,11.4,30.4,41.8,23.4,8.8,4.8,15.4,20.7,108.6
7,Los Angeles Clippers,24,39.9,86.5,.462,13.1,38.2,.343,26.8,48.3,.556,16.2,21.5,.753,9.5,32.6,42.1,25.4,9.9,5.4,15.6,18.7,109.2
8,Cleveland Cavaliers,23,40.4,88.6,.455,13.5,36.3,.372,26.8,52.3,.514,16.4,20.8,.790,10.8,32.7,43.5,25.4,7.5,4.7,15.8,18.2,110.6
9,Boston Celtics,23,42.1,90.8,.463,12.6,35.6,.354,29.4,55.1,.534,14.5,18.7,.772,10.1,34.1,44.1,24.5,6.7,3.8,13.8,19.4,111.2
10,Dallas Mavericks,23,40.5,90.1,.449,12.4,36.3,.343,28.0,53.8,.521,17.8,23.6,.753,12.1,31.6,43.7,26.3,8.0,4.3,14.3,19.3,111.2
11,Miami Heat,20,41.5,89.9,.462,13.8,38.9,.356,27.7,51.0,.543,14.5,18.2,.795,11.8,35.3,47.1,27.2,7.1,5.7,15.9,19.1,111.4
12,Milwaukee Bucks,22,41.1,91.2,.451,14.1,39.1,.360,27.0,52.1,.518,17.2,20.7,.829,11.0,34.7,45.7,25.9,7.6,4.1,13.0,19.6,113.5
13,Philadelphia 76ers,21,40.6,85.1,.477,12.9,36.5,.353,27.7,48.7,.570,19.5,23.6,.828,10.6,35.1,45.6,26.1,7.8,6.1,18.0,20.3,113.5
14,Detroit Pistons,24,41.7,90.1,.463,14.3,37.8,.377,27.4,52.2,.525,16.2,21.0,.772,10.8,31.9,42.7,25.0,10.0,5.1,13.8,18.5,113.9
15,Sacramento Kings,24,40.5,87.6,.462,15.0,39.7,.378,25.5,47.9,.531,18.0,22.6,.795,10.0,31.9,41.9,25.8,8.3,4.0,15.2,19.5,113.9
16,Atlanta Hawks,24,40.9,88.0,.464,15.5,40.3,.385,25.3,47.7,.531,17.1,21.9,.782,10.8,31.8,42.7,25.9,9.3,5.7,15.9,19.5,114.4
17,New York Knicks,22,41.8,90.0,.465,14.4,39.8,.362,27.4,50.2,.546,16.3,21.0,.776,10.1,31.0,41.1,26.5,7.1,4.7,13.1,19.4,114.4
18,San Antonio Spurs,23,42.9,91.7,.468,13.4,37.5,.358,29.5,54.2,.544,15.2,19.3,.788,11.5,33.4,44.9,26.0,8.6,4.6,14.2,19.4,114.5
19,Denver Nuggets,20,43.0,91.3,.470,13.9,38.1,.366,29.0,53.3,.545,15.1,19.8,.762,11.7,32.0,43.7,29.5,8.4,5.7,14.8,20.7,115.0
20,Charlotte Hornets,22,41.2,87.8,.470,14.0,38.4,.364,27.2,49.4,.552,18.7,24.1,.775,10.3,33.6,43.8,26.5,7.9,5.4,14.6,19.3,115.1
21,Phoenix Suns,21,42.2,90.8,.465,13.5,37.2,.362,28.7,53.6,.536,17.2,21.3,.805,10.6,34.1,44.8,26.9,8.2,4.4,13.0,20.1,115.1
