Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Cleveland Cavaliers,23,240.0,45.3,89.0,.509,15.6,38.4,.405,29.7,50.5,.588,15.9,20.5,.775,9.0,34.2,43.2,28.2,9.1,4.8,13.4,18.6,122.0
2,Memphis Grizzlies,23,240.0,44.6,91.7,.487,13.0,37.3,.348,31.6,54.3,.582,18.9,24.3,.777,12.2,35.3,47.5,30.3,8.7,6.9,17.0,21.4,121.1
3,Boston Celtics,23,243.3,41.6,90.4,.460,19.0,51.0,.373,22.6,39.4,.573,17.8,22.0,.812,10.3,33.5,43.7,25.7,7.4,5.6,11.7,16.8,120.1
4,Chicago Bulls,24,240.0,43.8,91.1,.481,16.6,43.1,.386,27.2,48.0,.566,15.7,19.8,.792,9.0,35.5,44.5,29.4,7.1,4.7,15.5,18.4,119.9
5,Dallas Mavericks,23,241.1,43.9,89.9,.488,13.1,35.1,.374,30.7,54.8,.561,18.0,23.4,.768,11.6,34.1,45.7,25.9,8.2,5.6,14.0,20.5,118.9
6,New York Knicks,22,240.0,43.6,87.5,.499,14.5,36.1,.401,29.1,51.3,.568,16.5,19.7,.836,9.4,33.2,42.6,28.0,7.1,4.1,12.8,17.8,118.3
7,Denver Nuggets,20,242.5,43.4,89.3,.486,12.0,31.0,.387,31.4,58.3,.538,19.2,25.2,.760,11.1,33.4,44.4,30.1,8.7,4.8,14.3,18.1,117.9
8,Atlanta Hawks,24,241.0,43.1,92.5,.466,12.5,36.0,.346,30.6,56.5,.542,18.7,23.8,.788,12.3,33.6,46.0,30.2,10.2,5.4,16.4,19.1,117.3
9,Oklahoma City Thunder,22,240.0,43.0,92.9,.463,13.8,39.9,.346,29.2,53.0,.551,15.7,19.5,.805,10.4,32.9,43.3,25.8,12.0,6.6,11.3,21.0,115.5
10,Sacramento Kings,24,243.1,42.6,88.3,.482,11.7,34.5,.338,30.9,53.8,.575,18.5,23.3,.797,9.9,33.3,43.2,25.3,8.1,4.8,13.8,20.4,115.4
11,Indiana Pacers,24,242.1,42.5,87.4,.486,12.4,33.1,.375,30.0,54.3,.553,16.9,21.5,.785,8.7,31.5,40.2,27.3,8.4,5.1,15.0,20.1,114.2
12,Golden State Warriors,22,241.1,41.8,92.2,.453,15.1,41.2,.368,26.6,51.0,.522,15.5,21.9,.707,13.0,35.8,48.8,29.3,9.0,5.2,14.5,20.7,114.1
13,Houston Rockets,23,243.3,41.5,94.9,.437,11.8,36.0,.328,29.7,58.9,.504,18.6,24.3,.766,14.3,35.7,49.9,22.5,8.9,5.7,13.1,20.7,113.5
