Four-Factor Score,NRtg_norm,SRS_norm,W,L,W/L%
1.626427,1.7701291454916226,1.8298013506280864,67.0,15.0,0.817
1.249868,1.3810897728561011,1.383773673007685,59.0,23.0,0.72
1.23099,1.2449259924336689,1.2880409031769646,53.0,29.0,0.646
0.84131,1.08931024337946,1.140090258893124,53.0,29.0,0.646
0.823145,0.9725984315888035,0.9834366355337636,55.0,27.0,0.671
0.621549,0.9531464629570277,0.9029340790852032,56.0,26.0,0.683
0.767549,0.6808189021121626,0.5983298114420021,52.0,30.0,0.634
0.212417,0.5641070903215061,0.6614264097395224,44.0,38.0,0.537
0.559732,0.5641070903215061,0.5069485311490418,49.0,33.0,0.598
0.462225,0.5252031530579541,0.5809238532909621,50.0,32.0,0.61
0.131175,0.3112314981084172,0.282846819954401,50.0,32.0,0.61
0.26133,0.2917795294766411,0.2458591588834408,42.0,40.0,0.512
0.331868,0.2917795294766411,0.2219259664257608,49.0,33.0,0.598
0.1188,0.1945196863177607,0.2545621379589609,45.0,37.0,0.549
0.156456,0.1361637804224325,0.0935570250618403,41.0,41.0,0.5
-0.049791,0.0583559058953282,-0.01305446861328,42.0,40.0,0.512
0.014665,-0.0389039372635521,-0.1000842593684803,45.0,37.0,0.549
-0.547,-0.1167118117906564,-0.0630965982975202,40.0,42.0,0.488
-0.072822,-0.1556157490542086,-0.2175744768880007,35.0,47.0,0.427
-0.110108,-0.1750677176859846,-0.1240174518261604,34.0,48.0,0.415
-0.449459,-0.2334236235813128,-0.2567378827278409,31.0,51.0,0.378
-0.289086,-0.4473952785308496,-0.3829310793228814,35.0,47.0,0.427
-0.480125,-0.6808189021121626,-0.7549834348013628,29.0,53.0,0.354
-0.458907,-0.7002708707439387,-0.7919710958723228,32.0,50.0,0.39
-0.79051,-1.1476661492747884,-1.1770779199640842,28.0,54.0,0.341
-0.871989,-1.2060220551701166,-1.1096298321288038,22.0,60.0,0.268
-1.357924,-1.6728693023327423,-1.660093258655446,19.0,63.0,0.232
-1.785814,-2.023004737704712,-2.008212421676247,17.0,65.0,0.207
-2.145974,-2.392592141708457,-2.3345741370082487,15.0,67.0,0.183
1.837731,1.7618838811192834,1.7877335827457306,58.0,24.0,0.707
0.873266,1.2292213124088025,1.370144298897296,55.0,27.0,0.671
0.923457,1.065325137420962,1.12861968607685,53.0,29.0,0.646
0.985123,0.962890028053562,0.821635131463947,56.0,26.0,0.683
0.703277,0.962890028053562,1.0202721962134724,50.0,32.0,0.61
0.423888,0.9219159843066018,1.0405873505628558,53.0,29.0,0.646
0.677117,0.8604549186861618,0.7087731628562619,52.0,30.0,0.634
0.878167,0.7375327874452815,0.8442075251854839,56.0,26.0,0.683
0.468207,0.6146106562044013,0.4469333956864326,48.0,34.0,0.585
0.469334,0.532662568710481,0.3905024113825901,50.0,32.0,0.61
0.581635,0.512175546837001,0.3814734538939753,47.0,35.0,0.573
0.244845,0.512175546837001,0.6117118698536528,45.0,37.0,0.549
0.885407,0.4712015030900409,0.3272997089622865,46.0,36.0,0.561
0.546729,0.4712015030900409,0.5936539548764231,51.0,31.0,0.622
0.169115,0.3073053281022006,0.4085603263598197,47.0,35.0,0.573
0.039158,0.2253572406082804,0.0880323355139943,43.0,39.0,0.524
-0.219195,0.0,0.1241481654684535,44.0,38.0,0.537
-0.02556,-0.04097404374696,-0.1738074316558349,41.0,41.0,0.5
-0.146126,-0.3687663937226407,-0.4695057894079696,32.0,50.0,0.39
-0.373955,-0.4712015030900409,-0.541737449316888,36.0,46.0,0.439
-0.331465,-0.532662568710481,-0.4130748051041271,40.0,42.0,0.488
-0.538197,-0.6555846999513614,-0.5033643799902752,31.0,51.0,0.378
-0.771296,-0.9424030061800818,-1.0112432387248578,30.0,52.0,0.366
-1.103721,-1.1267862030414022,-1.1963368672414612,26.0,56.0,0.317
-1.173434,-1.1472732249148825,-1.2527678515453036,25.0,57.0,0.305
-1.296073,-1.2701953561557626,-1.115076249843928,23.0,59.0,0.28
-1.153448,-1.475065574890563,-1.5236365762037476,19.0,63.0,0.232
-1.59558,-1.966754099854084,-1.830621130816651,17.0,65.0,0.207
-1.97841,-2.069189209221484,-2.0518305892877136,15.0,67.0,0.183
1.39076,1.7328720121312022,1.8606179307069104,61.0,21.0,0.744
1.553368,1.6890018346088933,1.7481495669585296,58.0,24.0,0.707
1.503606,1.4915860357585031,1.535437661608331,58.0,24.0,0.707
0.94417,0.9870789942519506,0.8973019455577348,52.0,30.0,0.634
0.572084,0.9870789942519506,1.0782293133268694,57.0,25.0,0.695
0.648569,0.811598284162715,0.8752972656939211,50.0,32.0,0.61
0.612079,0.7457930178792516,0.7848335818093538,49.0,33.0,0.598
0.28953,0.7238579291180971,0.7921684750972918,45.0,37.0,0.549
0.682636,0.5264421302677069,0.42786877512971,49.0,33.0,0.598
0.459005,0.5264421302677069,0.4131989885538342,50.0,32.0,0.61
0.448415,0.3948315977007802,0.3105104825227038,43.0,39.0,0.524
0.088047,0.3728965089396258,0.3056205536640786,44.0,38.0,0.537
0.188806,0.2193508876115446,0.2958406959468281,44.0,38.0,0.537
0.448142,0.2193508876115446,0.1393629724708198,44.0,38.0,0.537
-0.003829,0.0658052662834633,-0.0171147510051884,42.0,40.0,0.512
-0.04181,-0.0438701775223089,-0.1515877946173829,41.0,41.0,0.5
-0.220305,-0.1096754438057723,-0.0220046798638136,39.0,43.0,0.476
-0.129093,-0.1096754438057723,-0.1735924744811966,42.0,40.0,0.512
-0.21123,-0.1535456213280812,-0.0733489328793788,36.0,46.0,0.439
-0.212212,-0.3509614201784713,-0.3863043798313954,37.0,45.0,0.451
-0.050655,-0.3728965089396258,-0.4498734549935237,36.0,46.0,0.439
-0.594768,-0.7896631954015605,-0.8606274791180454,29.0,53.0,0.354
-0.812301,-0.9651439054907962,-1.014660238164741,30.0,52.0,0.366
-0.904175,-1.009014083013105,-1.0782293133268694,33.0,49.0,0.402
-1.113661,-1.206429881863495,-1.0537796690337429,28.0,54.0,0.341
-1.078376,-1.2503000593858042,-1.173582926070062,21.0,61.0,0.256
-1.359035,-1.4038456807138853,-1.2689365388132543,27.0,55.0,0.329
-1.496743,-1.776742189653511,-1.647906025356712,23.0,59.0,0.28
-1.601025,-2.061898343548519,-2.08310969377436,21.0,61.0,0.256
0.990853,1.812393253515324,1.8795907964635208,60.0,22.0,0.732
